Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-04-10,4,136,249,230,149,2,5,76,63,33,56,41,9,36,22,5.0,12,5,3,0,1.0,4.0,2,1.0,0.0,0.0,0.0,0.0,0.0,,
2010-04-11,8,89,188,219,134,2,3,60,57,20,52,34,13,29,20,2.0,10,3,5,2,0.0,4.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-12,3,101,194,188,105,6,3,74,71,50,64,40,13,38,27,2.0,14,5,3,1,1.0,8.0,0,3.0,0.0,3.0,0.0,0.0,0.0,,
2010-04-13,5,134,198,184,130,5,0,48,45,51,70,43,17,45,34,1.0,10,1,3,1,0.0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-14,9,138,214,229,117,5,5,63,92,47,71,51,13,36,30,2.0,15,8,2,2,0.0,4.0,1,5.0,1.0,1.0,1.0,0.0,0.0,,
2010-04-15,9,132,240,251,124,8,6,64,86,54,88,61,15,41,28,6.0,11,9,2,2,0.0,8.0,0,7.0,2.0,2.0,0.0,0.0,0.0,,
2010-04-16,11,112,225,215,131,3,3,60,76,50,79,57,8,45,23,2.0,6,6,3,0,1.0,1.0,2,2.0,1.0,1.0,0.0,0.0,0.0,,
2010-04-17,14,109,212,210,142,1,3,58,65,29,46,49,6,36,20,3.0,5,5,3,2,0.0,2.0,1,1.0,2.0,0.0,0.0,0.0,0.0,,
2010-04-18,10,103,165,195,143,3,4,51,55,21,50,41,7,42,18,5.0,8,6,4,2,0.0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-19,5,111,199,160,122,5,2,96,59,41,77,53,11,42,16,1.0,8,2,3,2,0.0,3.0,2,1.0,0.0,1.0,0.0,0.0,0.0,,
